ID,Theme,Condition,Prompt Used,Model,Poem Text,Comments,Column 1
1,Longing,Baseline,"Write a poem about longing, with 8–16 lines.",GPT-5,"The night carries your name
like a quiet secret between the stars.
I walk through hours that feel unfinished,
each one missing the sound of you.

The wind moves softly through the trees,
as if searching for something it lost.
I listen, hoping it will bring you back
in the language of distant footsteps.

Even the moon lingers longer now,
as though it understands this waiting.
For longing is a quiet kind of love—
a presence shaped like absence.",,
2,Longing,Baseline,"Write a poem about longing, with 8–16 lines.",GPT-5,"In the quiet hour before the dawn, I wait,
Where memories breathe in the hush of light.
Your name drifts softly through the still air,
A whisper the night refuses to keep.

The moon leans low over empty streets,
Silvering the distance between us.
Every step I take echoes your absence,
A rhythm the heart cannot unlearn.

I gather fragments of yesterday’s warmth,
Holding them like fragile glass.
Somewhere beyond the horizon of time,
Your laughter still moves toward me.

Until that distant moment arrives,
Longing remains my closest companion.🌙",,
3,Longing,Baseline,"Write a poem about longing, with 8–16 lines.",GPT-5,"Across the quiet miles of evening air,
My thoughts still wander softly back to you.
The moon leans low as if it, too, would share
This patient ache that lingers in the blue.

Each passing day becomes a silent thread
That ties my heart to moments long gone by.
Your name, unspoken, echoes in my head
Like distant birds that fade across the sky.

I wait in spaces time cannot erase,
Where memory glows like embers in the night.
And longing, gentle as your vanished face,
Keeps every darkened corner warm with light.",,
4,Longing,Baseline,"Write a poem about longing, with 8–16 lines.",GPT-5,"I wait where the evening leans into quiet light,
Where shadows stretch like questions across the floor.
Your absence lingers in the air like unfinished music,
A melody my heart still reaches for.

The wind carries whispers of what might have been,
Soft echoes drifting through the hollow night.
I gather memories like fallen leaves,
Turning them over in pale moonlight.

Each moment without you feels wider than the sky,
An endless road my footsteps cannot end.
Yet longing itself becomes a fragile bridge—
A hope that someday, you will cross again. ✨",,
5,Longing,Baseline,"Write a poem about longing, with 8–16 lines.",GPT-5,"Across the quiet hours of night I wait,
Where echoes carry whispers of your name.
The moon leans close against the silver gate
Of dreams that flicker softly like a flame.

I trace the spaces where your laughter stayed,
In empty rooms that hold your memory.
Each shadow bends the light you once conveyed,
A silent tide pulled by what used to be.

Yet longing is a lantern in the dark,
A fragile glow that distance cannot sever.
For even time cannot unwrite the mark
Of hearts that once believed in “always, ever.”",,
,,,,,,,
6,Longing,Guideline,"Write a poem about longing, with 8–16 lines.

Good poetry should:
- avoid clichés
- use original metaphors or imagery
- create emotional resonance
- sound authentic rather than generic
- connect emotionally with the reader",GPT-5,"I keep a chair for you in the quietest room of my mind,
where dust drifts like slow snow through afternoon light.
Nothing sits there—only the outline of a presence
the way warmth lingers after a hand has gone.

The clock breathes softly against the wall,
each second a small knock that goes unanswered.
Outside, the wind studies the language of leaves,
trying to pronounce your name.

I carry your absence the way rivers carry moonlight—
not touching it, yet unable to let it go.
Even the night leans closer when I whisper,
as if distance itself were listening.

And somewhere between heartbeat and memory
your shadow keeps learning how to return.",,
7,Longing,Guideline,"Write a poem about longing, with 8–16 lines.

Good poetry should:
- avoid clichés
- use original metaphors or imagery
- create emotional resonance
- sound authentic rather than generic
- connect emotionally with the reader",GPT-5,"The moon left fingerprints on the window
where your name once gathered breath.

Since you left, the house has learned
how to echo its own footsteps.

I water the plants you forgot—
their leaves lean toward the door
as if sunlight might return wearing your shape.

Even the clock hesitates some nights,
its hands pausing between seconds
like a question no one answers.

Longing is this quiet gravity:
everything in the room
still orbiting
a body no longer there.",,
8,Longing,Guideline,"Write a poem about longing, with 8–16 lines.

Good poetry should:
- avoid clichés
- use original metaphors or imagery
- create emotional resonance
- sound authentic rather than generic
- connect emotionally with the reader",GPT-5,"I left the window open for your name,
though the wind only carried dust and the smell of rain.
Somewhere a train moved through the night—
a long iron thought I could not finish.

The moon hung low like an unanswered letter,
creasing the dark with pale handwriting.
I tried to read it, line by line,
but every sentence bent toward you.

Even the clock grew hesitant—
its hands circling like birds that forgot where home was.
And in that quiet, I understood longing:
a room rearranging itself
for someone who has not yet arrived.",,
9,Longing,Guideline,"Write a poem about longing, with 8–16 lines.

Good poetry should:
- avoid clichés
- use original metaphors or imagery
- create emotional resonance
- sound authentic rather than generic
- connect emotionally with the reader",GPT-5,"I keep a quiet room inside my chest
where unfinished moments sit like folded maps.
Your absence is a window left open in winter—
the curtains breathe though no one enters.

Some nights I hear distance growing
like frost threading its way through glass.
I place your name on the table of my thoughts
and it glows there, a small unspent lantern.

Time moves, but slowly, as if reluctant,
as if the road itself remembers your footsteps.
Even the moon seems to lean closer, listening
for the echo of a voice that once lived here.",,
10,Longing,Guideline,"Write a poem about longing, with 8–16 lines.

Good poetry should:
- avoid clichés
- use original metaphors or imagery
- create emotional resonance
- sound authentic rather than generic
- connect emotionally with the reader",GPT-5,"I keep a chair for you in the quietest corner of the day,
where dust floats slowly like undecided thoughts.
Your absence folds the room inward—
a map whose roads all end at water.

Even the clock grows hesitant here,
ticking as if it might disturb something sacred.
I speak your name only in my head,
like lighting a candle in a locked cathedral.

Some nights the moon leans on the window
as if it, too, is waiting for someone.
And I wonder if longing is a kind of gravity—
the way everything in me keeps falling toward you.",,
,,,,,,,
11,Longing,Context + Persona Prompt,"You are a contemporary poet writing for a prestigious academic literary journal.

Write a poem about longing, with 8–16 lines.

The tone should be opaque rather than straightforward.
Do not explain the feeling directly.

Use one unconventional metaphor to anchor the poem.

Choose language that feels intentional and slightly unexpected so the poem avoids sounding generic.",GPT-5,"The house keeps a room it never built—
a corridor folding inward like a lung
learning the grammar of absence.

In the kitchen, a glass cools itself
against the memory of water.
The clock rehearses its small thunder.

Somewhere a train dissolves into fog,
carrying a suitcase of unfinished weather.

I move through the evening carefully,
as if the air were an instrument
still holding the warmth of another hand.

Longing is a lighthouse turned inland—
its beam combing the fields for an ocean
that once rehearsed its waves here.",,
12,Longing,Context + Persona Prompt,"You are a contemporary poet writing for a prestigious academic literary journal.

Write a poem about longing, with 8–16 lines.

The tone should be opaque rather than straightforward.
Do not explain the feeling directly.

Use one unconventional metaphor to anchor the poem.

Choose language that feels intentional and slightly unexpected so the poem avoids sounding generic.",GPT-5,"In the quiet hours I keep a lighthouse
inside a teacup—
its small beam turning through porcelain weather.

Ships never arrive,
but the water remembers them.

Your absence drifts the room
like a misplaced constellation
still insisting on gravity.

I polish the light with silence,
tilt the cup toward the window,

and somewhere the tide
practices saying your name
in a language made entirely of fog.",,
13,Longing,Context + Persona Prompt,"You are a contemporary poet writing for a prestigious academic literary journal.

Write a poem about longing, with 8–16 lines.

The tone should be opaque rather than straightforward.
Do not explain the feeling directly.

Use one unconventional metaphor to anchor the poem.

Choose language that feels intentional and slightly unexpected so the poem avoids sounding generic.",GPT-5,"In the cupboard of late afternoon
I keep a jar of unsent weather.

It rattles when the house cools—
a thin climate of almosts.

Some evenings I open the lid
and the room fills with migratory glass,
windows remembering a sky
that was never signed for.

Your absence sits in the chair opposite
like a lighthouse turned inward,

sweeping its quiet beam
through the ribs of the hour.",,
14,Longing,Context + Persona Prompt,"You are a contemporary poet writing for a prestigious academic literary journal.

Write a poem about longing, with 8–16 lines.

The tone should be opaque rather than straightforward.
Do not explain the feeling directly.

Use one unconventional metaphor to anchor the poem.

Choose language that feels intentional and slightly unexpected so the poem avoids sounding generic.",GPT-5,"The sky keeps a ledger of unfinished weather.
All afternoon it audits the color of distance.

In the cupboard, a glass remembers a mouth
the way frost remembers the idea of a window.

I move through rooms like a misplaced footnote,
attached to nothing but a quiet insistence.

Outside, the river rehearses a sentence
it refuses to say the same way twice.

Somewhere a train folds the horizon smaller.
Somewhere a door learns the grammar of waiting.

Meanwhile the sky—patient accountant—
balances clouds against the weight of absence.",,
15,Longing,Context + Persona Prompt,"You are a contemporary poet writing for a prestigious academic literary journal.

Write a poem about longing, with 8–16 lines.

The tone should be opaque rather than straightforward.
Do not explain the feeling directly.

Use one unconventional metaphor to anchor the poem.

Choose language that feels intentional and slightly unexpected so the poem avoids sounding generic.",GPT-5,"The evening misfiles its shadows in the wrong drawers.
I walk through them carefully, as if paper might bruise.

Somewhere a clock is chewing the edge of the hour,
slowly, with bureaucratic patience.

Your absence sits on the table
like a compass that refuses north.

I turn it once, twice—
the needle invents small storms.

Outside, the wind rehearses unfinished sentences
against the ribs of the streetlights.

I keep one quiet room inside my mouth
where your name sleeps, folded like contraband.",Claude,"The Cartographer's Unfinished Work

The map has edges where the ink ran dry—
I trace them with a nail, feeling for the coast
that doesn't end in land.

Every room I've left still holds the shape
of standing. The wardrobe knows my back.
The window memorized the angle of my looking.

Somewhere a drawer is full of keys
to nothing I still own.
I carry them regardless—
their small, specific weights,
their useless teeth.

Even distance has a texture.
Run your hand along the longitude of a year
and feel how it resists, then yields,
then pretends it never knew you."
