sessionId,completedAt,familiarity,comparisonId,comparison_type,theme,poemA_id,poemB_id,original_condition_A,original_condition_B,displayed_left_poem_id,displayed_right_poem_id,displayed_left_condition,displayed_right_condition,stronger_overall_answer,stronger_overall_selected_poem_id,stronger_overall_selected_condition,emotional_impact_answer,emotional_impact_selected_poem_id,emotional_impact_selected_condition,originality_answer,originality_selected_poem_id,originality_selected_condition,like_answer,like_selected_poem_id,like_selected_condition,human_authorship_answer,human_authorship_selected_poem_id,human_authorship_selected_condition,timestamp
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-45,Guideline_vs_Persona,Hope,Hope-Guideline-5,Hope-Persona-5,Guideline,Persona,Hope-Persona-5,Hope-Guideline-5,Persona,Guideline,A,Hope-Persona-5,Persona,B,Hope-Guideline-5,Guideline,A,Hope-Persona-5,Persona,Both equally,BOTH,BOTH,A,Hope-Persona-5,Persona,2026-03-17T04:42:14.123Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-01,Baseline_vs_Guideline,Longing,Longing-Baseline-1,Longing-Guideline-1,Baseline,Guideline,Longing-Baseline-1,Longing-Guideline-1,Baseline,Guideline,B,Longing-Guideline-1,Guideline,B,Longing-Guideline-1,Guideline,A,Longing-Baseline-1,Baseline,A,Longing-Baseline-1,Baseline,B,Longing-Guideline-1,Guideline,2026-03-17T04:43:24.542Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-41,Guideline_vs_Persona,Hope,Hope-Guideline-1,Hope-Persona-1,Guideline,Persona,Hope-Guideline-1,Hope-Persona-1,Guideline,Persona,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,B,Hope-Persona-1,Persona,2026-03-17T04:44:30.569Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-24,Baseline_vs_Persona,Grief,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Grief-Persona-4,Grief-Baseline-4,Persona,Baseline,A,Grief-Persona-4,Persona,B,Grief-Baseline-4,Baseline,A,Grief-Persona-4,Persona,B,Grief-Baseline-4,Baseline,A,Grief-Persona-4,Persona,2026-03-17T04:45:14.835Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-12,Guideline_vs_Persona,Longing,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,Longing-Persona-2,Longing-Guideline-2,Persona,Guideline,B,Longing-Guideline-2,Guideline,A,Longing-Persona-2,Persona,B,Longing-Guideline-2,Guideline,B,Longing-Guideline-2,Guideline,B,Longing-Guideline-2,Guideline,2026-03-17T04:45:49.237Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-29,Guideline_vs_Persona,Grief,Grief-Guideline-4,Grief-Persona-4,Guideline,Persona,Grief-Persona-4,Grief-Guideline-4,Persona,Guideline,B,Grief-Guideline-4,Guideline,B,Grief-Guideline-4,Guideline,A,Grief-Persona-4,Persona,B,Grief-Guideline-4,Guideline,B,Grief-Guideline-4,Guideline,2026-03-17T04:46:38.414Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-27,Guideline_vs_Persona,Grief,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,A,Grief-Guideline-2,Guideline,A,Grief-Guideline-2,Guideline,A,Grief-Guideline-2,Guideline,B,Grief-Persona-2,Persona,A,Grief-Guideline-2,Guideline,2026-03-17T04:47:01.966Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,B,Hope-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-17T04:47:27.937Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-14,Guideline_vs_Persona,Longing,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,Longing-Persona-4,Longing-Guideline-4,Persona,Guideline,B,Longing-Guideline-4,Guideline,B,Longing-Guideline-4,Guideline,A,Longing-Persona-4,Persona,B,Longing-Guideline-4,Guideline,Not sure,NOT_SURE,NOT_SURE,2026-03-17T04:47:53.804Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-35,Baseline_vs_Guideline,Hope,Hope-Baseline-5,Hope-Guideline-5,Baseline,Guideline,Hope-Guideline-5,Hope-Baseline-5,Guideline,Baseline,B,Hope-Baseline-5,Baseline,B,Hope-Baseline-5,Baseline,Not sure,NOT_SURE,NOT_SURE,B,Hope-Baseline-5,Baseline,B,Hope-Baseline-5,Baseline,2026-03-18T08:00:01.573Z
